# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
3250 1.04453 -1.29923 0.855004
3260 1.02096 -1.29786 0.829832
3270 0.991411 -1.31584 0.743088
3280 1.01853 -1.29376 0.835872
3290 0.97416 -1.28347 0.858923
3300 0.988343 -1.28949 0.850005
3310 1.00045 -1.29517 0.845261
3320 0.993727 -1.30918 0.793751
3330 1.02335 -1.31005 0.794775
3340 1.04057 -1.30449 0.83553
3350 0.969812 -1.29927 0.822845
3360 0.977758 -1.29183 0.834778
3370 0.958241 -1.32127 0.72174
3380 0.990947 -1.31612 0.739774
3390 0.961881 -1.3279 0.692447
3400 0.997258 -1.31803 0.759302
3410 1.01522 -1.29862 0.83523
3420 0.95443 -1.32254 0.726127
3430 0.978376 -1.32004 0.738255
3440 0.972937 -1.31265 0.758251
3450 0.986553 -1.31217 0.779109
3460 1.01679 -1.33587 0.690767
3470 1.03167 -1.32002 0.716089
3480 1.03085 -1.29473 0.818598
3490 1.02898 -1.27598 0.913483
3500 0.999981 -1.28881 0.858258
3510 1.01732 -1.29737 0.814092
3520 0.992731 -1.31023 0.732265
3530 1.00597 -1.30797 0.726427
3540 0.982207 -1.32067 0.679575
3550 0.998669 -1.30148 0.754331
3560 1.03384 -1.3046 0.767943
3570 1.00116 -1.29733 0.791369
3580 0.997312 -1.29559 0.802605
3590 0.990976 -1.30805 0.760931
3600 1.01477 -1.30569 0.7842
3610 0.977672 -1.2993 0.796661
3620 0.992071 -1.3071 0.78305
3630 0.995504 -1.29267 0.837378
3640 1.01602 -1.29072 0.84158
3650 1.02135 -1.27501 0.887678
3660 1.00522 -1.31211 0.753971
3670 1.00072 -1.28489 0.845255
3680 1.00892 -1.32035 0.744756
3690 1.01821 -1.31089 0.773122
3700 1.0494 -1.29287 0.861987
3710 0.975219 -1.27226 0.917286
3720 0.969783 -1.27713 0.886746
3730 0.964694 -1.29231 0.811455
3740 1.00365 -1.30784 0.77671
3750 1.00192 -1.29444 0.838452
3760 1.06084 -1.29954 0.852095
3770 1.02542 -1.30707 0.805321
3780 1.02565 -1.32096 0.762083
3790 1.01074 -1.31301 0.783879
3800 1.02508 -1.31109 0.793344
3810 0.982593 -1.31502 0.764693
3820 0.990233 -1.31655 0.754689
3830 1.00683 -1.30146 0.809722
3840 0.969074 -1.2899 0.828634
3850 0.994207 -1.29343 0.833311
3860 1.03271 -1.30385 0.84161
3870 0.996937 -1.29489 0.895863
3880 1.02927 -1.28703 0.952599
3890 1.01326 -1.29 0.929228
3900 1.0001 -1.29869 0.865963
3910 1.00159 -1.30429 0.826225
3920 1.03619 -1.31076 0.804189
3930 1.04443 -1.32734 0.738034
3940 1.00608 -1.31719 0.746736
3950 0.981259 -1.30146 0.779947
3960 0.969025 -1.30663 0.755001
3970 0.993156 -1.29228 0.819466
3980 1.00821 -1.29794 0.812267
3990 0.973329 -1.31138 0.763943
4000 1.00963 -1.31378 0.768586
4010 0.978218 -1.29273 0.851113
4020 0.986273 -1.30535 0.814313
4030 0.952604 -1.30323 0.816502
4040 1.04416 -1.32596 0.778484
4050 1.02435 -1.33469 0.732495
4060 0.999216 -1.30967 0.80998
4070 1.03165 -1.31703 0.791232
4080 1.02289 -1.3286 0.755141
4090 1.0313 -1.32698 0.777441
4100 1.00453 -1.31239 0.844493
4110 1.01405 -1.29642 0.935608
4120 1.03031 -1.3093 0.922036
4130 1.01937 -1.3139 0.923028
4140 1.00297 -1.28601 1.03887
4150 0.984024 -1.27381 1.07267
4160 1.00647 -1.29552 0.974386
4170 1.00055 -1.31568 0.87376
4180 0.991387 -1.34018 0.762627
4190 0.958377 -1.33819 0.744994
4200 0.959586 -1.31757 0.806759
4210 0.99791 -1.32555 0.785732
4220 0.992301 -1.33525 0.749576
4230 1.00004 -1.30039 0.877379
4240 1.00609 -1.3137 0.848565
4250 0.993055 -1.3031 0.878756
4260 0.95982 -1.29941 0.884607
4270 0.978196 -1.31777 0.821734
4280 0.991299 -1.32288 0.80154
4290 1.0181 -1.32189 0.818111
4300 0.950031 -1.31492 0.822665
4310 1.01185 -1.29988 0.880586
4320 1.02453 -1.32196 0.794739
4330 1.01567 -1.31639 0.805584
4340 1.03011 -1.30637 0.850131
4350 0.977869 -1.30442 0.83262
4360 0.98729 -1.32304 0.796197
4370 0.954009 -1.30043 0.862283
4380 1.00307 -1.32873 0.791153
4390 0.99731 -1.31956 0.837713
4400 0.978908 -1.31452 0.858697
4410 1.00465 -1.33428 0.798432
4420 0.998639 -1.32076 0.83539
4430 1.01438 -1.33821 0.773624
4440 1.05039 -1.31567 0.85496
4450 0.964402 -1.31626 0.830044
4460 0.988878 -1.31345 0.834717
4470 1.03642 -1.32881 0.786629
4480 1.01701 -1.29686 0.872223
4490 1.03248 -1.3285 0.775678
4500 1.03549 -1.3043 0.854502
4510 0.989135 -1.32006 0.781511
4520 1.01406 -1.34229 0.728088
4530 0.968958 -1.32265 0.774728
4540 1.00425 -1.34478 0.675137
4550 0.980809 -1.34606 0.631817
4560 1.00201 -1.34452 0.665002
4570 0.990168 -1.33067 0.713709
4580 0.98593 -1.30806 0.782322
4590 1.00606 -1.30871 0.78453
4600 0.968118 -1.32072 0.719578
4610 0.980785 -1.32082 0.722949
4620 0.98211 -1.32046 0.736903
4630 0.999921 -1.29784 0.83789
4640 1.01366 -1.30812 0.80797
4650 0.992752 -1.31736 0.739569
4660 0.980592 -1.31132 0.754695
4670 1.01086 -1.3145 0.74334
4680 1.02914 -1.32654 0.698479
4690 0.999423 -1.32001 0.706626
4700 1.02819 -1.31897 0.741504
4710 0.997556 -1.3128 0.764578
4720 1.0026 -1.30651 0.763191
4730 0.969408 -1.3122 0.702536
4740 1.00196 -1.31778 0.693217
4750 0.9994 -1.31332 0.722949
4760 0.947814 -1.31227 0.71022
4770 1.03972 -1.32345 0.712436
4780 0.990419 -1.32881 0.670837
4790 1.00776 -1.31459 0.731895
4800 0.994227 -1.30916 0.753992
4810 0.989208 -1.28135 0.853283
4820 1.02883 -1.29722 0.812792
4830 1.01593 -1.32 0.72323
